,req_id,order_time,desired_time,rental_length
0,0,3,13,39.0
1,1,4,21,57.0
2,2,5,25,39.0
3,3,8,23,63.0
4,4,10,23,33.0
5,5,13,28,43.0
6,6,14,27,29.0
7,7,15,30,83.0
8,8,16,29,45.0
9,9,16,27,28.0
10,10,19,36,29.0
11,11,19,32,79.0
12,12,21,31,45.0
13,13,23,31,79.0
14,14,24,38,42.0
15,15,24,34,49.0
16,16,24,40,52.0
17,17,24,33,26.0
18,18,24,30,80.0
19,19,25,35,33.0
20,20,26,43,126.0
21,21,26,42,14.0
22,22,28,46,18.0
23,23,28,45,54.0
24,24,28,40,86.0
25,25,28,42,101.0
26,26,29,43,80.0
27,27,31,43,51.0
28,28,32,45,23.0
29,29,33,45,31.0
30,30,34,44,44.0
31,31,35,51,27.0
32,32,36,52,104.0
33,33,37,43,23.0
34,34,37,49,51.0
35,35,38,50,67.0
36,36,38,55,48.0
37,37,39,53,32.0
38,38,40,54,37.0
39,39,40,52,39.0
40,40,41,56,26.0
41,41,42,60,26.0
42,42,42,64,49.0
43,43,43,51,37.0
44,44,43,57,18.0
45,45,44,53,56.0
46,46,44,61,50.0
47,47,44,59,51.0
48,48,44,57,16.0
49,49,44,56,20.0
50,50,45,54,70.0
51,51,45,63,46.0
52,52,47,65,28.0
53,53,47,66,43.0
54,54,49,68,28.0
55,55,50,58,32.0
56,56,51,69,55.0
57,57,52,61,27.0
58,58,52,73,43.0
59,59,53,69,27.0
60,60,53,71,31.0
61,61,53,69,13.0
62,62,54,72,11.0
63,63,55,71,35.0
64,64,55,73,58.0
65,65,56,64,19.0
66,66,56,71,19.0
67,67,57,74,21.0
68,68,57,75,15.0
69,69,58,67,17.0
70,70,59,73,102.0
71,71,61,76,22.0
72,72,61,72,47.0
73,73,62,75,47.0
74,74,63,80,51.0
75,75,67,88,25.0
76,76,67,82,26.0
77,77,67,86,20.0
78,78,67,78,34.0
79,79,69,83,43.0
80,80,69,79,19.0
81,81,71,82,40.0
82,82,72,86,49.0
83,83,73,88,56.0
84,84,73,85,44.0
85,85,74,89,20.0
86,86,75,93,19.0
87,87,75,91,65.0
88,88,75,89,110.0
89,89,77,93,59.0
90,90,78,91,26.0
91,91,79,94,18.0
92,92,80,96,35.0
93,93,80,89,10.0
94,94,80,88,48.0
95,95,83,96,88.0
96,96,83,100,34.0
97,97,86,99,139.0
98,98,87,105,24.0
99,99,88,100,20.0
100,100,88,100,41.0
101,101,89,107,52.0
102,102,92,105,30.0
103,103,94,108,65.0
104,104,95,112,39.0
105,105,95,108,54.0
106,106,97,103,61.0
107,107,97,112,22.0
108,108,99,112,46.0
109,109,100,114,17.0
110,110,100,112,27.0
111,111,100,115,38.0
112,112,101,115,27.0
113,113,101,118,52.0
114,114,102,115,36.0
115,115,102,114,35.0
116,116,108,122,79.0
117,117,108,124,135.0
118,118,109,128,23.0
119,119,110,122,45.0
120,120,111,120,24.0
121,121,112,125,44.0
122,122,113,129,27.0
123,123,113,128,25.0
124,124,113,129,23.0
125,125,115,129,25.0
126,126,115,128,63.0
127,127,116,131,60.0
128,128,116,132,32.0
129,129,117,132,76.0
130,130,119,127,47.0
131,131,120,132,34.0
132,132,120,134,22.0
133,133,120,133,32.0
134,134,121,132,47.0
135,135,123,138,33.0
136,136,124,131,46.0
137,137,125,139,60.0
138,138,128,136,46.0
139,139,128,140,40.0
140,140,130,150,28.0
141,141,132,151,30.0
142,142,134,147,32.0
143,143,135,145,18.0
144,144,135,154,83.0
145,145,136,155,59.0
146,146,137,150,34.0
147,147,138,147,92.0
148,148,140,150,64.0
149,149,143,161,46.0
150,150,144,154,40.0
151,151,146,159,16.0
152,152,149,161,30.0
153,153,149,161,28.0
154,154,149,159,54.0
155,155,151,156,47.0
156,156,151,162,32.0
157,157,152,167,42.0
158,158,154,167,16.0
159,159,155,171,27.0
160,160,155,169,27.0
161,161,156,172,47.0
162,162,158,169,39.0
163,163,158,170,16.0
164,164,158,177,37.0
165,165,159,177,40.0
166,166,159,174,48.0
167,167,160,181,30.0
168,168,161,179,45.0
169,169,163,181,14.0
170,170,163,177,118.0
171,171,163,173,72.0
172,172,164,179,19.0
173,174,165,178,32.0
174,175,168,182,26.0
175,176,169,179,23.0
176,177,169,182,27.0
177,178,171,182,51.0
