,req_id,order_time,desired_time,rental_length
0,0,1,19,21.0
1,1,2,15,27.0
2,2,3,17,65.0
3,3,4,21,41.0
4,4,5,24,36.0
5,5,6,20,43.0
6,6,10,24,66.0
7,7,10,24,57.0
8,8,11,24,52.0
9,9,11,22,19.0
10,10,11,24,37.0
11,11,12,31,67.0
12,12,15,30,45.0
13,13,16,30,49.0
14,14,18,37,81.0
15,15,18,32,29.0
16,16,18,34,148.0
17,17,19,34,49.0
18,18,19,25,19.0
19,19,20,34,53.0
20,20,21,37,27.0
21,21,22,31,50.0
22,22,22,34,47.0
23,23,24,39,31.0
24,24,26,43,72.0
25,25,29,39,23.0
26,26,29,42,55.0
27,27,31,50,19.0
28,28,32,44,26.0
29,29,32,46,48.0
30,30,32,48,35.0
31,31,33,45,60.0
32,32,33,49,58.0
33,33,34,47,39.0
34,34,35,47,70.0
35,35,38,51,74.0
36,36,38,49,36.0
37,37,40,54,33.0
38,38,41,58,12.0
39,39,42,51,80.0
40,40,43,60,38.0
41,41,44,59,24.0
42,42,44,58,88.0
43,43,47,68,47.0
44,44,48,63,35.0
45,45,49,60,22.0
46,46,49,61,69.0
47,47,50,68,29.0
48,48,51,60,25.0
49,49,53,66,85.0
50,50,54,69,21.0
51,51,56,77,32.0
52,52,56,75,27.0
53,53,57,69,10.0
54,54,59,67,53.0
55,55,60,76,30.0
56,56,61,81,29.0
57,57,63,74,109.0
58,58,63,70,25.0
59,59,66,81,50.0
60,60,66,87,25.0
61,61,67,86,31.0
62,62,68,84,26.0
63,63,69,87,51.0
64,64,73,81,50.0
65,65,74,89,43.0
66,66,74,82,39.0
67,67,76,92,45.0
68,68,76,90,43.0
69,69,77,95,51.0
70,70,78,90,64.0
71,71,78,87,37.0
72,72,78,86,12.0
73,73,78,89,97.0
74,74,79,94,105.0
75,75,79,96,68.0
76,76,80,94,51.0
77,77,80,96,50.0
78,78,81,101,66.0
79,79,82,96,22.0
80,80,82,96,47.0
81,81,84,105,59.0
82,82,85,104,43.0
83,83,85,100,38.0
84,84,85,103,35.0
85,85,86,94,75.0
86,86,87,98,31.0
87,87,88,102,24.0
88,88,88,104,27.0
89,89,89,102,20.0
90,90,89,102,34.0
91,91,90,99,56.0
92,92,92,103,39.0
93,93,92,103,30.0
94,94,93,111,16.0
95,95,93,107,48.0
96,96,93,101,39.0
97,97,94,109,106.0
98,98,95,114,30.0
99,99,95,110,27.0
100,100,96,111,45.0
101,101,96,109,28.0
102,102,97,112,54.0
103,103,98,109,117.0
104,104,98,113,34.0
105,105,98,114,55.0
106,106,99,114,16.0
107,107,99,115,32.0
108,108,100,115,40.0
109,109,100,114,37.0
110,110,100,114,23.0
111,111,102,116,20.0
112,112,103,107,38.0
113,113,105,120,28.0
114,114,105,121,33.0
115,115,105,123,32.0
116,116,105,125,31.0
117,117,105,122,39.0
118,118,106,122,33.0
119,119,107,125,17.0
120,120,107,120,29.0
121,121,107,124,36.0
122,122,107,125,22.0
123,123,108,125,54.0
124,124,108,121,20.0
125,125,108,124,47.0
126,126,109,122,22.0
127,127,109,120,27.0
128,128,112,123,24.0
129,129,112,130,38.0
130,130,112,123,27.0
131,131,114,131,43.0
132,132,116,128,66.0
133,133,116,126,45.0
134,134,117,126,43.0
135,135,119,136,38.0
136,136,120,136,53.0
137,137,120,130,33.0
138,138,121,128,40.0
139,139,122,134,26.0
140,140,123,135,46.0
141,141,124,135,74.0
142,142,124,136,44.0
143,143,125,139,20.0
144,144,125,140,45.0
145,145,126,133,60.0
146,146,129,142,22.0
147,147,133,147,34.0
148,148,134,152,26.0
149,149,138,150,34.0
150,150,138,156,54.0
151,151,139,153,46.0
152,152,140,150,20.0
153,153,142,158,16.0
154,154,142,162,42.0
155,155,142,158,25.0
156,156,143,160,37.0
157,157,143,158,55.0
158,158,144,158,18.0
159,159,146,162,31.0
160,160,147,162,38.0
161,161,148,166,54.0
162,162,148,161,28.0
163,163,148,161,44.0
164,164,149,161,27.0
165,165,149,161,71.0
166,166,149,161,14.0
167,167,150,157,24.0
168,168,151,165,16.0
169,169,152,165,44.0
170,170,154,170,34.0
171,171,155,172,44.0
172,172,156,169,21.0
173,173,157,169,36.0
174,174,158,171,14.0
175,175,159,171,45.0
176,176,159,168,26.0
177,177,162,181,30.0
178,179,164,181,32.0
179,182,168,180,56.0
180,183,168,178,23.0
