,req_id,order_time,desired_time,rental_length
0,0,1,12,36.0
1,1,2,18,137.0
2,2,2,12,43.0
3,3,2,17,42.0
4,4,2,16,19.0
5,5,4,21,32.0
6,6,5,16,36.0
7,7,6,12,37.0
8,8,6,16,18.0
9,9,8,22,31.0
10,10,10,24,36.0
11,11,10,25,104.0
12,12,12,23,31.0
13,13,12,30,36.0
14,14,13,22,40.0
15,15,15,28,38.0
16,16,15,28,48.0
17,17,15,32,71.0
18,18,15,27,58.0
19,19,16,27,27.0
20,20,16,31,43.0
21,21,17,23,28.0
22,22,17,36,48.0
23,23,19,30,30.0
24,24,19,32,54.0
25,25,19,35,69.0
26,26,20,36,57.0
27,27,21,33,74.0
28,28,21,28,60.0
29,29,22,39,36.0
30,30,22,37,33.0
31,31,22,35,53.0
32,32,22,40,58.0
33,33,23,35,31.0
34,34,24,40,41.0
35,35,24,46,19.0
36,36,26,38,29.0
37,37,28,45,58.0
38,38,28,46,85.0
39,39,29,47,37.0
40,40,30,44,47.0
41,41,30,41,33.0
42,42,32,48,37.0
43,43,33,42,41.0
44,44,33,47,30.0
45,45,33,42,26.0
46,46,34,46,29.0
47,47,36,52,60.0
48,48,37,52,58.0
49,49,37,54,13.0
50,50,38,53,23.0
51,51,41,54,41.0
52,52,42,54,21.0
53,53,43,51,36.0
54,54,43,56,32.0
55,55,43,62,47.0
56,56,44,59,34.0
57,57,45,59,58.0
58,58,48,64,33.0
59,59,48,58,53.0
60,60,50,64,40.0
61,61,52,68,55.0
62,62,54,71,19.0
63,63,55,65,43.0
64,64,55,68,30.0
65,65,55,64,24.0
66,66,56,74,17.0
67,67,57,71,32.0
68,68,57,68,8.0
69,69,58,75,42.0
70,70,59,77,23.0
71,71,59,73,53.0
72,72,59,74,87.0
73,73,62,77,58.0
74,74,62,71,25.0
75,75,63,75,35.0
76,76,64,76,14.0
77,77,66,79,28.0
78,78,66,74,24.0
79,79,67,85,39.0
80,80,68,80,57.0
81,81,68,83,151.0
82,82,69,90,32.0
83,83,70,89,33.0
84,84,70,89,40.0
85,85,71,86,61.0
86,86,72,91,85.0
87,87,72,86,46.0
88,88,73,90,25.0
89,89,75,86,18.0
90,90,78,93,20.0
91,91,79,93,47.0
92,92,80,93,30.0
93,93,84,98,35.0
94,94,85,96,18.0
95,95,86,101,38.0
96,96,86,100,24.0
97,97,87,104,178.0
98,98,89,98,40.0
99,99,89,105,39.0
100,100,90,101,32.0
101,101,95,107,33.0
102,102,96,109,36.0
103,103,97,115,48.0
104,104,98,118,15.0
105,105,99,109,43.0
106,106,102,116,20.0
107,107,103,125,73.0
108,108,105,123,22.0
109,109,105,120,18.0
110,110,106,117,64.0
111,111,107,124,37.0
112,112,108,121,44.0
113,113,108,122,47.0
114,114,108,122,85.0
115,115,108,120,26.0
116,116,108,125,52.0
117,117,109,125,17.0
118,118,109,126,34.0
119,119,110,124,64.0
120,120,110,125,27.0
121,121,111,121,85.0
122,122,111,126,27.0
123,123,112,121,64.0
124,124,112,128,18.0
125,125,114,128,42.0
126,126,116,130,40.0
127,127,116,126,42.0
128,128,119,133,16.0
129,129,120,130,65.0
130,130,120,136,65.0
131,131,123,138,56.0
132,132,123,139,27.0
133,133,126,145,36.0
134,134,126,141,17.0
135,135,127,144,92.0
136,136,128,142,23.0
137,137,129,140,34.0
138,138,132,146,45.0
139,139,134,149,13.0
140,140,136,152,58.0
141,141,136,150,66.0
142,142,137,157,13.0
143,143,138,152,24.0
144,144,139,153,33.0
145,145,141,158,40.0
146,146,141,154,21.0
147,147,142,159,40.0
148,148,145,161,38.0
149,149,145,163,31.0
150,150,147,162,35.0
151,151,149,162,29.0
152,152,150,166,29.0
153,153,150,160,18.0
154,154,152,164,36.0
155,155,154,165,65.0
156,156,154,169,26.0
157,157,154,164,50.0
158,158,155,168,49.0
159,159,155,166,34.0
160,160,155,167,33.0
161,161,155,168,33.0
162,162,156,175,11.0
163,163,156,168,26.0
164,164,156,171,26.0
165,165,158,169,19.0
166,166,159,176,23.0
167,167,160,171,124.0
168,168,160,174,28.0
169,169,161,178,27.0
170,170,162,172,33.0
171,171,162,171,117.0
172,172,162,175,34.0
173,173,163,178,31.0
174,174,164,177,23.0
175,175,164,178,35.0
176,176,164,178,53.0
177,177,164,177,43.0
178,178,165,182,24.0
179,179,167,179,24.0
180,181,168,179,51.0
181,182,169,182,34.0
